Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
689000.0;73.86;3;0;0;3;2004;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;5.9
375000.0;54.0;3;0;2;2;1955;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3.7
485000.0;38.0;2;0;8;10;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.6
729000.0;66.19;3;0;3;6;2018;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1.9
525000.0;47.27;2;0;5;6;2018;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.8
360000.0;45.0;3;0;7;8;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.7
319000.0;38.11;2;0;8;10;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.8
550000.0;67.96;2;0;4;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1.8
470000.0;77.0;3;0;2;3;1960;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0.5
299000.0;40.37;2;0;1;3;1940;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0.0
534900.0;71.3;4;0;1;4;1985;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;11.6
318000.0;48.43;3;0;11;12;1980;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;5.0
470000.0;54.65;3;0;2;4;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3.8
240000.0;48.42;2;0;3;4;1955;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;8.8
459000.0;56.0;2;0;3;3;2001;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3.9
470000.0;77.0;3;0;2;3;1930;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0.5
619000.0;74.2;3;0;1;2;2000;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;6.8
610000.0;57.42;3;0;2;4;2017;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1.7
319900.0;41.81;2;1;3;10;1970;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;3.8
350000.0;47.1;2;0;3;4;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4.2
849000.0;79.35;4;0;3;4;2019;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.9
261800.0;26.7;1;1;4;4;1935;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0.5
599000.0;74.2;3;0;1;2;2000;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;7.6
274900.0;43.78;2;1;1;3;2021;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;27.0
690000.0;109.76;4;0;1;1;1930;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3.2
530000.0;76.2;3;0;3;12;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;10.7
390821.76;43.08;2;1;3;6;2022;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.7
321000.0;47.65;2;0;6;10;1983;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;3.8
565000.0;74.5;4;0;3;3;1920;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3.2
389000.0;49.0;3;0;0;4;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;11.4
265100.0;26.51;1;1;3;6;2022;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.7
469000.0;48.5;2;0;10;12;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.7
580000.0;61.0;3;0;3;4;2012;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
499000.0;30.57;1;1;4;27;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0.0
324000.0;38.14;1;0;5;10;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;6.4
470000.0;54.65;3;0;2;4;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3.8
